Year,temp.dev
1881,-13
1882,-1
1883,-5
1884,-42
1885,-23
1886,-26
1887,-46
1888,-23
1889,6
1890,-20
1891,-56
1892,-40
1893,-39
1894,-32
1895,-32
1896,-27
1897,-15
1898,-20
1899,-25
1900,-6
1901,-5
1902,-30
1903,-36
1904,-42
1905,-25
1906,-15
1907,-40
1908,-30
1909,-30
1910,-20
1911,-25
1912,-33
1913,-28
1914,-2
1915,5
1916,-20
1917,-46
1918,-34
1919,-9
1920,-18
1921,-4
1922,-9
1923,-15
1924,-11
1925,-15
1926,5
1927,-4
1928,1
1929,-22
1930,-3
1931,2
1932,4
1933,-11
1934,5
1935,-8
1936,1
1937,12
1938,15
1939,-2
1940,14
1941,11
1942,10
1943,6
1944,10
1945,-1
1946,1
1947,12
1948,-3
1949,-9
1950,-17
1951,-2
1952,3
1953,12
1954,-9
1955,-8
1956,-18
1957,8
1958,9
1959,5
1960,-2
1961,10
1962,5
1963,3
1964,-25
1965,-15
1966,-8
1967,-2
1968,-9
1969,0
1970,4
1971,-10
1972,-5
1973,18
1974,-6
1975,-2
1976,-21
1977,16
1978,7
1979,14
1980,28
1981,40
1982,9
1983,34
1984,15
1985,13
1986,19
1987,35
1988,39
1989,26
1990,48
1991,44
1992,15
1993,19
1994,32
1995,47
1996,39
1997,41
1998,72
1999,46
2000,42
2001,58
2002,69
2003,68
2004,61
2005,77
